Fairbanks,Nova Scotia,693699
Butler,Northwest Territories,4955562
Peru,Ontario,2951242
Dodge City,Quebec,761144
Midwest City,Quebec,3498985
Charlotte Amalie,Ontario,599379
Terre Haute,Northwest Territories,4334448
Attleboro,Yukon,1619796
Idabel,Alberta,2657156
La Habra Heights,British Columbia,781887
Saint Joseph,Nunavut,52449
Independence,Nunavut,4880271
Hammond,Prince Edward Island,2597144
Huntsville,Manitoba,1459261
Moultrie,Alberta,3160772
Wheeling,Northwest Territories,1878235
Hutchinson,Northwest Territories,4341667
Manassas,Northwest Territories,1501976
Ames,Quebec,2145489
Frederiksted,Nova Scotia,3391232
Corvallis,British Columbia,3041936
Duluth,Quebec,4172292
Sturgis,Alberta,4184848
Kent,Northwest Territories,4284633
Slidell,British Columbia,1830349
Menomonee Falls,Prince Edward Island,2836517
Macon,Yukon,4169049
Kent,Northwest Territories,3263264
Laredo,Prince Edward Island,3632010
Medford,Manitoba,2076452
Davenport,Alberta,3352494
Kent,Nova Scotia,1455959
Moorhead,New Brunswick,666711
Ada,Newfoundland and Labrador,2617538
Forest Lake,Prince Edward Island,3754694
Boulder,Saskatchewan,2903051
Monterey,Ontario,626803
Seward,Saskatchewan,228128
Toledo,Quebec,1725899
Eau Claire,New Brunswick,4208610
Lexington,New Brunswick,2492631
New Iberia,Ontario,4587181
Hastings,Newfoundland and Labrador,2353144
Durant,Alberta,4136872
Rancho Santa Margarita,Newfoundland and Labrador,2810269
DeKalb,Nova Scotia,605520
Fajardo,Newfoundland and Labrador,2716783
Milwaukee,British Columbia,315211
Hoover,Newfoundland and Labrador,63696
Asheville,Nunavut,2039409
West Warwick,Nunavut,1055660
Overland Park,Yukon,2033754
Fallon,Yukon,2567887
Las Vegas,Nunavut,3850529
Trenton,British Columbia,2334114
Costa Mesa,Prince Edward Island,2994545
Bartlesville,British Columbia,469955
Palm Springs,Nunavut,3185850
Carson City,Newfoundland and Labrador,4051727
Franklin,Saskatchewan,2987028
Tacoma,Manitoba,1809748
Rolla,Prince Edward Island,3309272
South Burlington,Northwest Territories,246703
Cedar City,Ontario,1011439
Richland,New Brunswick,2120508
Sanford,Quebec,4706389
Clearwater,Saskatchewan,2438793
San Marino,Yukon,3368521
Charlottesville,Manitoba,4581842
Waterbury,Manitoba,3938112
New Britain,Prince Edward Island,3783699
Hammond,Nova Scotia,573449
Reno,New Brunswick,2729618
Baltimore,Nunavut,1154963
Longview,New Brunswick,1526455
Cranston,Quebec,1809000
Zanesville,Alberta,4705730
Cody,Saskatchewan,3974740
Middletown,Nunavut,4640934
Bakersfield,Nova Scotia,3976185
Rosemead,Nunavut,4092848
Coatesville,Quebec,3452746
Beacon,Prince Edward Island,1372285
Missoula,Yukon,2857815
Wynne,Saskatchewan,856027
Rye,New Brunswick,1668259
Santa Fe,Nova Scotia,4288038
Appleton,New Brunswick,3969703
Terre Haute,Yukon,336934
Seattle,Ontario,4445945
Jersey City,Prince Edward Island,9887
Pullman,Quebec,3586840
Port Huron,British Columbia,2422538
Garland,Saskatchewan,672859
Hastings,British Columbia,2002889
Hialeah,Ontario,1352299
North Charleston,Quebec,2305159
LaGrange,British Columbia,4494704
South Pasadena,Nova Scotia,2886759
Frederiksted,Nova Scotia,137304

